slug,name,state,status,flags,mw,units,permits,first_permit_filed,first_power
crusoe-stargate-abilene,Crusoe Stargate Abilene,TX,operating,,360.5,5x GE Vernova LM2500; 5x None Titan 350,TCEQ 177263 (issued),2024-08-01,2025-09-01
xai-colossus-1,xAI Colossus 1,TN,operating,in_litigation|unpermitted_operation,247.5,15x Solar Turbines SMT-130,Shelby County Health Department 01156-01PC (issued; under appeal),2025-01-31,2024-07-01
xai-colossus-2,xAI Colossus 2,MS,operating,appealed|unpermitted_operation,495.0,27x None,MDEQ 0680-00119 (issued),,
